2018-05-03 15:54:25,589 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-17
2018-05-03 15:54:25,591 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-17
2018-05-03 15:54:25,593 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-17
2018-05-03 15:54:25,615 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17345-1525330420412-0:1) uptime 45.341 seconds | org.apache.activemq.broker.BrokerService | Thread-17
2018-05-03 15:54:25,618 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17345-1525330420412-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-17
2018-05-03 15:54:25,619 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@e45f292: startup date [Thu May 03 15:53:39 KST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-17
2018-05-03 15:54:25,634 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-17
2018-05-03 15:54:28,326 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@e45f292: startup date [Thu May 03 15:54:28 KST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-05-03 15:54:29,306 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:54:29,367 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-05-03 15:54:29,404 | INFO  | PListStore:[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\dynamic-broker1\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-05-03 15:54:29,587 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17351-1525330469417-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:54:29,650 | INFO  | Listening for connections at: tcp://Notebook-ssw:61626 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-05-03 15:54:29,856 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-05-03 15:54:30,054 | INFO  | Network Connector DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1] started | org.apache.activemq.network.NetworkConnector | main
2018-05-03 15:54:30,055 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17351-1525330469417-0:1) started | org.apache.activemq.broker.BrokerService | main
